pretzels wetzels:WETZEL'S PRETZELS(25),WETZELS PRETZELS(11),WETZELS PRETZEL'S(8)
q sushi:Q SUSHI(7),SUSHI Q(5),SUSHI Q.(5)
carls jr:CARL'S JR(46),CARL'S JR.(8)
8113 dominos pizza:DOMINO'S PIZZA #8113(4),DOMINOS PIZZA #8113(2)
pupuseria restaurante rosa santa y:SANTA ROSA PUPUSERIA Y RESTAURANTE(8),PUPUSERIA Y RESTAURANTE SANTA ROSA(1)
la market mini:LA MINI MARKET(2),L.A. MINI MARKET(1)
kt liquor market:K.T. LIQUOR MARKET(2),KT LIQUOR MARKET(1)
natures sunshine:NATURES SUNSHINE(3),NATURE'S SUNSHINE(3)
321 carls jr:CARL'S JR #321(4),CARLS JR #321(2)
boba its time:IT'S BOBA TIME(22),ITS BOBA TIME(7)
cafe la:LA CAFE(8),L.A. CAFE(6)
cafe cali:CALI CAFE(2),CAFE CALI(1)
aroma cafe:AROMA CAFE(9),CAFE AROMA(6)
anzio cafe:CAFE ANZIO(7),ANZIO CAFE(1)
la pizza:PIZZA LA(6),L.A. PIZZA(1)
louises trattoria:LOUISES TRATTORIA(8),LOUISE'S TRATTORIA(7)
lees market:LEE'S MARKET(16),LEES MARKET(2)
donuts usa:USA DONUTS(7),DONUTS USA(6)
longs market:LONG'S MARKET(3),LONGS MARKET(1)
market todos:TODO'S MARKET(7),TODOS MARKET(4)
23rd cafe st:23RD ST CAFE(8),23RD ST. CAFE(1)
inc restaurants sizzler usa:SIZZLER USA RESTAURANTS, INC(7),SIZZLER USA RESTAURANTS INC(7)
fish taco wahoos:WAHOOS FISH TACO(9),WAHOO'S FISH TACO(9)
burger jr toms:TOM'S JR BURGER(6),TOM'S JR. BURGER(2)
quiznos sub:QUIZNOS SUB(6),QUIZNO'S SUB(4)
lilianas tamales:TAMALES LILIANAS(8),TAMALES LILIANA'S(7)
5 market star:5 STAR MARKET(5),5- STAR- MARKET(2)
 bakery carnitas market uruapan:CARNITAS URUAPAN MARKET & BAKERY(5),CARNITAS URUAPAN - MARKET & BAKERY(5)
center mothers nutritional:MOTHER'S NUTRITIONAL CENTER(16),MOTHERS NUTRITIONAL CENTER(6)
donut king:DONUT KING(15),KING DONUT(8)
8 man pizza:PIZZA MAN 8(2),PIZZA MAN #8(1)
chicken n roll:CHICKEN N ROLL(4),CHICKEN N' ROLL(2)
dianas market:Diana's Market(11),DIANA'S MARKET(2)
joes trader:TRADER JOE'S(3),TRADER JOES(2)
liquor reds:REDS LIQUOR(3),RED'S LIQUOR(2)
market tonys:TONY'S MARKET(7),TONYS MARKET(3)
amigos market:AMIGOS MARKET(6),AMIGO'S MARKET(3)
market youngs:YOUNG'S MARKET(7),YOUNGS MARKET(2)
harrys market:HARRYS MARKET(6),HARRY'S MARKET(4)
lupitas market:LUPITA'S MARKET(11),LUPITAS MARKET(8)
als liquor:AL'S LIQUOR(2),ALS LIQUOR(1)
5289 coffee starbucks:STARBUCKS COFFEE #5289(3),STARBUCK'S COFFEE #5289(1)
cafe josephs:JOSEPHS CAFE(1),JOSEPH'S CAFE(1)
 candy co magic nut the:THE MAGIC NUT & CANDY CO(3),THE MAGIC NUT & CANDY CO.(3)
liquor pacos:PACO'S LIQUOR(3),PACOS LIQUOR(1)
donuts king:KING DONUTS(5),DONUTS KING(4)
east la market:EAST L.A. MARKET(3),EAST LA MARKET(2)
market mini rodriguez:RODRIGUEZ, MINI MARKET(2),MINI MARKET RODRIGUEZ(1)
